"position" "class" "mc" "h" "uc" "group" "generation"
13700118 "CHH" 0 10 10 "119_1_r1" "119_1"
13700123 "CHH" 0 33 33 "119_1_r1" "119_1"
13700126 "CG" 0 34 34 "119_1_r1" "119_1"
13700127 "CG" 0 7 7 "119_1_r1" "119_1"
13700130 "CHH" 0 34 34 "119_1_r1" "119_1"
13700133 "CHH" 0 7 7 "119_1_r1" "119_1"
13700135 "CHH" 0 32 32 "119_1_r1" "119_1"
13700138 "CHH" 0 7 7 "119_1_r1" "119_1"
13700139 "CHH" 0 7 7 "119_1_r1" "119_1"
13700140 "CHH" 0 6 6 "119_1_r1" "119_1"
13700143 "CHH" 0 5 5 "119_1_r1" "119_1"
13700145 "CHH" 0 5 5 "119_1_r1" "119_1"
13700147 "CG" 0 29 29 "119_1_r1" "119_1"
13700148 "CG" 0 5 5 "119_1_r1" "119_1"
13700151 "CHH" 0 4 4 "119_1_r1" "119_1"
13700154 "CHH" 0 1 1 "119_1_r1" "119_1"
13700168 "CHH" 0 31 31 "119_1_r1" "119_1"
13700171 "CG" 0 29 29 "119_1_r1" "119_1"
13700174 "CG" 0 29 29 "119_1_r1" "119_1"
13700193 "CHH" 0 1 1 "119_1_r1" "119_1"
13700196 "CHH" 0 1 1 "119_1_r1" "119_1"
13700198 "CHH" 0 1 1 "119_1_r1" "119_1"
13700200 "CHG" 0 23 23 "119_1_r1" "119_1"
13700202 "CHG" 0 1 1 "119_1_r1" "119_1"
13700204 "CHH" 0 1 1 "119_1_r1" "119_1"
13700209 "CHG" 0 21 21 "119_1_r1" "119_1"
13700211 "CHG" 0 1 1 "119_1_r1" "119_1"
13700216 "CHH" 0 1 1 "119_1_r1" "119_1"
13700218 "CG" 0 15 15 "119_1_r1" "119_1"
13700219 "CG" 0 1 1 "119_1_r1" "119_1"
13700220 "CHG" 0 1 1 "119_1_r1" "119_1"
13700223 "CHH" 0 1 1 "119_1_r1" "119_1"
13700224 "CHH" 0 14 14 "119_1_r1" "119_1"
13700229 "CHH" 0 2 2 "119_1_r1" "119_1"
13700231 "CHH" 0 12 12 "119_1_r1" "119_1"
13700234 "CHH" 0 11 11 "119_1_r1" "119_1"
13700237 "CHH" 0 3 3 "119_1_r1" "119_1"
13700241 "CHH" 0 4 4 "119_1_r1" "119_1"
13700244 "CHH" 0 5 5 "119_1_r1" "119_1"
13700251 "CHH" 0 6 6 "119_1_r1" "119_1"
13700252 "CHH" 0 6 6 "119_1_r1" "119_1"
13700253 "CHH" 0 4 4 "119_1_r1" "119_1"
13700256 "CHH" 0 6 6 "119_1_r1" "119_1"
13700257 "CHG" 0 3 3 "119_1_r1" "119_1"
13700259 "CHG" 0 7 7 "119_1_r1" "119_1"
13700263 "CHH" 0 3 3 "119_1_r1" "119_1"
13700264 "CHH" 0 3 3 "119_1_r1" "119_1"
13700266 "CHG" 0 3 3 "119_1_r1" "119_1"
13700268 "CHG" 0 12 12 "119_1_r1" "119_1"
13700273 "CHH" 0 13 13 "119_1_r1" "119_1"
13700274 "CHH" 0 3 3 "119_1_r1" "119_1"
13700276 "CHH" 1 2 1 "119_1_r1" "119_1"
13700279 "CHH" 0 2 2 "119_1_r1" "119_1"
13700284 "CHH" 0 16 16 "119_1_r1" "119_1"
13700285 "CHH" 0 16 16 "119_1_r1" "119_1"
13700286 "CHH" 0 2 2 "119_1_r1" "119_1"
13700287 "CHH" 0 2 2 "119_1_r1" "119_1"
13700289 "CHH" 0 1 1 "119_1_r1" "119_1"
13700295 "CHH" 0 1 1 "119_1_r1" "119_1"
13700300 "CHH" 0 1 1 "119_1_r1" "119_1"
13700302 "CHH" 0 1 1 "119_1_r1" "119_1"
13700303 "CHH" 0 1 1 "119_1_r1" "119_1"
13700304 "CHH" 0 1 1 "119_1_r1" "119_1"
13700309 "CHH" 0 16 16 "119_1_r1" "119_1"
13700310 "CHH" 0 1 1 "119_1_r1" "119_1"
13700311 "CHH" 0 1 1 "119_1_r1" "119_1"
13700313 "CG" 0 1 1 "119_1_r1" "119_1"
13700314 "CG" 0 16 16 "119_1_r1" "119_1"
13700315 "CHH" 0 1 1 "119_1_r1" "119_1"
13700317 "CHH" 0 1 1 "119_1_r1" "119_1"
13700319 "CHH" 0 1 1 "119_1_r1" "119_1"
13700321 "CHH" 0 1 1 "119_1_r1" "119_1"
13700323 "CHH" 0 2 2 "119_1_r1" "119_1"
13700325 "CG" 0 3 3 "119_1_r1" "119_1"
13700326 "CG" 0 14 14 "119_1_r1" "119_1"
13700332 "CHH" 0 4 4 "119_1_r1" "119_1"
13700335 "CHH" 1 5 4 "119_1_r1" "119_1"
13700338 "CHH" 0 7 7 "119_1_r1" "119_1"
13700343 "CHH" 0 8 8 "119_1_r1" "119_1"
13700352 "CHH" 0 11 11 "119_1_r1" "119_1"
13700353 "CHH" 0 11 11 "119_1_r1" "119_1"
13700357 "CHH" 0 8 8 "119_1_r1" "119_1"
13700362 "CHH" 0 6 6 "119_1_r1" "119_1"
13700366 "CHH" 0 5 5 "119_1_r1" "119_1"
13700368 "CHH" 0 4 4 "119_1_r1" "119_1"
13700370 "CHH" 0 4 4 "119_1_r1" "119_1"
13700372 "CHH" 0 3 3 "119_1_r1" "119_1"
13700374 "CHH" 1 3 2 "119_1_r1" "119_1"
13700376 "CHH" 0 3 3 "119_1_r1" "119_1"
13700378 "CHH" 0 3 3 "119_1_r1" "119_1"
13700381 "CHH" 0 2 2 "119_1_r1" "119_1"
13700383 "CHH" 0 2 2 "119_1_r1" "119_1"
13700387 "CHH" 0 2 2 "119_1_r1" "119_1"
13700391 "CHH" 0 2 2 "119_1_r1" "119_1"
13700393 "CHH" 0 1 1 "119_1_r1" "119_1"
13700395 "CHH" 0 1 1 "119_1_r1" "119_1"
13700397 "CHH" 0 1 1 "119_1_r1" "119_1"
13700400 "CHH" 0 1 1 "119_1_r1" "119_1"
13700403 "CHH" 0 24 24 "119_1_r1" "119_1"
13700407 "CG" 2 25 23 "119_1_r1" "119_1"
13700408 "CG" 0 1 1 "119_1_r1" "119_1"
13700411 "CG" 0 26 26 "119_1_r1" "119_1"
13700412 "CG" 0 1 1 "119_1_r1" "119_1"
13700414 "CHH" 0 1 1 "119_1_r1" "119_1"
13700415 "CG" 0 26 26 "119_1_r1" "119_1"
13700416 "CG" 0 1 1 "119_1_r1" "119_1"
13700418 "CHH" 0 1 1 "119_1_r1" "119_1"
13700419 "CHH" 0 1 1 "119_1_r1" "119_1"
13700422 "CHH" 0 1 1 "119_1_r1" "119_1"
13700424 "CHH" 0 25 25 "119_1_r1" "119_1"
13700429 "CHH" 0 1 1 "119_1_r1" "119_1"
13700431 "CHH" 0 1 1 "119_1_r1" "119_1"
13700433 "CHH" 0 1 1 "119_1_r1" "119_1"
13700436 "CHH" 0 1 1 "119_1_r1" "119_1"
13700437 "CHH" 0 1 1 "119_1_r1" "119_1"
13700439 "CHH" 0 26 26 "119_1_r1" "119_1"
13700441 "CHH" 0 27 27 "119_1_r1" "119_1"
13700444 "CHH" 0 28 28 "119_1_r1" "119_1"
13700448 "CHH" 1 2 1 "119_1_r1" "119_1"
13700451 "CHH" 0 2 2 "119_1_r1" "119_1"
13700458 "CHH" 0 3 3 "119_1_r1" "119_1"
13700462 "CHH" 0 4 4 "119_1_r1" "119_1"
13700463 "CG" 0 28 28 "119_1_r1" "119_1"
13700464 "CG" 0 4 4 "119_1_r1" "119_1"
13700465 "CHH" 0 28 28 "119_1_r1" "119_1"
13700468 "CHH" 0 4 4 "119_1_r1" "119_1"
13700478 "CHH" 0 27 27 "119_1_r1" "119_1"
13700481 "CHH" 0 27 27 "119_1_r1" "119_1"
13700487 "CHH" 0 18 17 "119_1_r1" "119_1"
13700490 "CHH" 0 5 5 "119_1_r1" "119_1"
13700492 "CG" 0 8 8 "119_1_r1" "119_1"
13700493 "CG" 0 6 6 "119_1_r1" "119_1"
13700494 "CHG" 0 7 7 "119_1_r1" "119_1"
13700495 "CHH" 0 7 7 "119_1_r1" "119_1"
13700496 "CHH" 1 9 8 "119_1_r1" "119_1"
13700500 "CHH" 0 8 8 "119_1_r1" "119_1"
13700502 "CHH" 1 8 7 "119_1_r1" "119_1"
13700507 "CHH" 0 7 7 "119_1_r1" "119_1"
13700510 "CHH" 0 7 7 "119_1_r1" "119_1"
13700513 "CHH" 1 12 11 "119_1_r1" "119_1"
13700517 "CHH" 0 7 7 "119_1_r1" "119_1"
13700518 "CHH" 0 13 13 "119_1_r1" "119_1"
13700523 "CHH" 0 8 8 "119_1_r1" "119_1"
13700525 "CHH" 0 13 13 "119_1_r1" "119_1"
13700531 "CHG" 0 11 11 "119_1_r1" "119_1"
13700533 "CHG" 0 12 12 "119_1_r1" "119_1"
13700534 "CHH" 0 12 12 "119_1_r1" "119_1"
13700539 "CHH" 0 13 13 "119_1_r1" "119_1"
13700541 "CHH" 0 11 11 "119_1_r1" "119_1"
13700545 "CHH" 0 12 12 "119_1_r1" "119_1"
13700546 "CHH" 0 13 13 "119_1_r1" "119_1"
13700549 "CG" 0 11 11 "119_1_r1" "119_1"
13700550 "CG" 0 14 14 "119_1_r1" "119_1"
13700552 "CHH" 0 15 15 "119_1_r1" "119_1"
13700554 "CHH" 0 16 16 "119_1_r1" "119_1"
13700556 "CHH" 0 18 18 "119_1_r1" "119_1"
13700557 "CHH" 0 12 12 "119_1_r1" "119_1"
13700558 "CHH" 1 12 11 "119_1_r1" "119_1"
13700564 "CHH" 0 22 22 "119_1_r1" "119_1"
13700569 "CHH" 0 12 12 "119_1_r1" "119_1"
13700572 "CG" 0 12 12 "119_1_r1" "119_1"
13700573 "CG" 0 23 22 "119_1_r1" "119_1"
13700574 "CHG" 0 12 12 "119_1_r1" "119_1"
13700576 "CHG" 1 24 23 "119_1_r1" "119_1"
13700578 "CHH" 0 24 23 "119_1_r1" "119_1"
13700581 "CHH" 0 11 11 "119_1_r1" "119_1"
13700584 "CHH" 0 11 11 "119_1_r1" "119_1"
13700587 "CHH" 0 10 10 "119_1_r1" "119_1"
13700588 "CHH" 2 10 8 "119_1_r1" "119_1"
13700591 "CHH" 0 27 27 "119_1_r1" "119_1"
13700594 "CHH" 0 6 6 "119_1_r1" "119_1"
13700595 "CHH" 1 6 5 "119_1_r1" "119_1"
13700599 "CHH" 0 6 6 "119_1_r1" "119_1"
13700601 "CHH" 0 6 6 "119_1_r1" "119_1"
13700604 "CHH" 0 6 6 "119_1_r1" "119_1"
13700606 "CG" 0 5 5 "119_1_r1" "119_1"
13700607 "CG" 0 32 32 "119_1_r1" "119_1"
13700612 "CHH" 0 6 6 "119_1_r1" "119_1"
13700615 "CHH" 0 6 6 "119_1_r1" "119_1"
13700623 "CHH" 0 39 39 "119_1_r1" "119_1"
13700629 "CHH" 0 7 7 "119_1_r1" "119_1"
13700635 "CHH" 1 43 42 "119_1_r1" "119_1"
13700636 "CHH" 0 44 44 "119_1_r1" "119_1"
13700638 "CHH" 0 7 7 "119_1_r1" "119_1"
13700643 "CHH" 0 46 46 "119_1_r1" "119_1"
13700645 "CG" 0 7 7 "119_1_r1" "119_1"
13700646 "CG" 0 45 45 "119_1_r1" "119_1"
13700647 "CHG" 0 45 45 "119_1_r1" "119_1"
13700650 "CHH" 0 7 7 "119_1_r1" "119_1"
13700668 "CHH" 1 9 8 "119_1_r1" "119_1"
13700670 "CHH" 0 10 10 "119_1_r1" "119_1"
13700678 "CHH" 0 47 47 "119_1_r1" "119_1"
13700682 "CHH" 1 46 45 "119_1_r1" "119_1"
13700683 "CHG" 0 14 14 "119_1_r1" "119_1"
13700685 "CHG" 0 46 46 "119_1_r1" "119_1"
13700694 "CHH" 0 42 42 "119_1_r1" "119_1"
13700699 "CHH" 0 15 15 "119_1_r1" "119_1"
13700704 "CHH" 0 17 17 "119_1_r1" "119_1"
13700706 "CHH" 0 17 17 "119_1_r1" "119_1"
13700712 "CHH" 0 32 32 "119_1_r1" "119_1"
13700714 "CHH" 0 31 30 "119_1_r1" "119_1"
13700715 "CHH" 0 17 17 "119_1_r1" "119_1"
13700721 "CHH" 0 17 17 "119_1_r1" "119_1"
13700722 "CHH" 0 17 17 "119_1_r1" "119_1"
13700727 "CHH" 0 18 18 "119_1_r1" "119_1"
13700728 "CHH" 0 18 18 "119_1_r1" "119_1"
13700731 "CHH" 0 22 22 "119_1_r1" "119_1"
13700733 "CHH" 0 20 20 "119_1_r1" "119_1"
13700734 "CHG" 0 19 19 "119_1_r1" "119_1"
13700735 "CG" 0 19 19 "119_1_r1" "119_1"
13700736 "CG" 0 20 20 "119_1_r1" "119_1"
13700737 "CHG" 0 19 19 "119_1_r1" "119_1"
13700738 "CHH" 0 19 19 "119_1_r1" "119_1"
13700739 "CHH" 0 19 19 "119_1_r1" "119_1"
13700742 "CHH" 0 17 17 "119_1_r1" "119_1"
13700746 "CHH" 0 17 17 "119_1_r1" "119_1"
13700748 "CHH" 0 16 16 "119_1_r1" "119_1"
13700750 "CHH" 0 15 15 "119_1_r1" "119_1"
13700756 "CHH" 0 11 11 "119_1_r1" "119_1"
13700757 "CHH" 0 11 11 "119_1_r1" "119_1"
13700758 "CHG" 0 16 15 "119_1_r1" "119_1"
13700760 "CHG" 0 10 10 "119_1_r1" "119_1"
13700766 "CHH" 0 8 8 "119_1_r1" "119_1"
13700767 "CHH" 0 11 11 "119_1_r1" "119_1"
13700771 "CHH" 0 6 6 "119_1_r1" "119_1"
13700772 "CHH" 0 6 6 "119_1_r1" "119_1"
13700776 "CHH" 0 5 5 "119_1_r1" "119_1"
13700777 "CHG" 0 8 8 "119_1_r1" "119_1"
13700778 "CG" 0 8 8 "119_1_r1" "119_1"
13700779 "CG" 0 3 3 "119_1_r1" "119_1"
13700783 "CHH" 0 1 1 "119_1_r1" "119_1"
13700784 "CHH" 0 6 6 "119_1_r1" "119_1"
13700791 "CHH" 0 2 2 "119_1_r1" "119_1"
13700794 "CHH" 0 2 2 "119_1_r1" "119_1"
13700796 "CHH" 0 4 4 "119_1_r1" "119_1"
13700800 "CHH" 0 3 3 "119_1_r1" "119_1"
13700801 "CHH" 0 3 3 "119_1_r1" "119_1"
13700805 "CHH" 1 2 1 "119_1_r1" "119_1"
13700808 "CHH" 0 3 3 "119_1_r1" "119_1"
13700811 "CG" 0 2 2 "119_1_r1" "119_1"
13700812 "CG" 0 4 4 "119_1_r1" "119_1"
13700818 "CHH" 0 2 2 "119_1_r1" "119_1"
13700820 "CHG" 0 1 1 "119_1_r1" "119_1"
13700822 "CHG" 0 6 6 "119_1_r1" "119_1"
13700824 "CHH" 0 1 1 "119_1_r1" "119_1"
13700825 "CHH" 0 1 1 "119_1_r1" "119_1"
13700827 "CHH" 0 1 1 "119_1_r1" "119_1"
13700829 "CG" 0 1 1 "119_1_r1" "119_1"
13700830 "CG" 0 10 10 "119_1_r1" "119_1"
13700833 "CHH" 0 10 10 "119_1_r1" "119_1"
13700835 "CHH" 0 1 1 "119_1_r1" "119_1"
13700837 "CHH" 0 1 1 "119_1_r1" "119_1"
13700838 "CHH" 0 1 1 "119_1_r1" "119_1"
13700840 "CHH" 0 1 1 "119_1_r1" "119_1"
13700843 "CHH" 0 1 1 "119_1_r1" "119_1"
13700845 "CHH" 0 1 1 "119_1_r1" "119_1"
13700847 "CHH" 0 1 1 "119_1_r1" "119_1"
13700848 "CHH" 0 1 1 "119_1_r1" "119_1"
13700850 "CHH" 0 2 2 "119_1_r1" "119_1"
13700852 "CHH" 0 2 2 "119_1_r1" "119_1"
13700857 "CHH" 0 14 14 "119_1_r1" "119_1"
13700859 "CHG" 0 2 2 "119_1_r1" "119_1"
13700861 "CHG" 0 15 15 "119_1_r1" "119_1"
13700862 "CHH" 0 2 2 "119_1_r1" "119_1"
13700867 "CHH" 0 2 2 "119_1_r1" "119_1"
13700870 "CHH" 0 14 14 "119_1_r1" "119_1"
13700872 "CHH" 0 2 2 "119_1_r1" "119_1"
13700873 "CHH" 0 2 2 "119_1_r1" "119_1"
13700876 "CHH" 0 3 3 "119_1_r1" "119_1"
13700878 "CHH" 0 4 4 "119_1_r1" "119_1"
13700881 "CHH" 0 4 4 "119_1_r1" "119_1"
13700886 "CHH" 0 4 4 "119_1_r1" "119_1"
13700892 "CHH" 1 17 16 "119_1_r1" "119_1"
13700893 "CHH" 0 16 16 "119_1_r1" "119_1"
13700894 "CHH" 0 6 6 "119_1_r1" "119_1"
13700904 "CHH" 0 12 12 "119_1_r1" "119_1"
13700907 "CHH" 0 12 12 "119_1_r1" "119_1"
13700916 "CHH" 1 12 11 "119_1_r1" "119_1"
13700920 "CHH" 1 10 9 "119_1_r1" "119_1"
13700921 "CHH" 0 10 10 "119_1_r1" "119_1"
13700923 "CHH" 0 10 10 "119_1_r1" "119_1"
13700924 "CHH" 0 10 10 "119_1_r1" "119_1"
13700929 "CHH" 0 10 10 "119_1_r1" "119_1"
13700930 "CHH" 0 8 8 "119_1_r1" "119_1"
13700933 "CHH" 1 7 6 "119_1_r1" "119_1"
13700935 "CHH" 0 7 7 "119_1_r1" "119_1"
13700936 "CHH" 0 7 7 "119_1_r1" "119_1"
13700937 "CHH" 0 7 7 "119_1_r1" "119_1"
13700941 "CHH" 0 8 8 "119_1_r1" "119_1"
13700946 "CHH" 0 10 10 "119_1_r1" "119_1"
13700949 "CHH" 0 10 10 "119_1_r1" "119_1"
13700950 "CHH" 0 10 10 "119_1_r1" "119_1"
13700956 "CHH" 0 10 10 "119_1_r1" "119_1"
13700960 "CHH" 0 12 12 "119_1_r1" "119_1"
13700962 "CHH" 0 12 12 "119_1_r1" "119_1"
13700966 "CHH" 0 8 8 "119_1_r1" "119_1"
13700967 "CHH" 1 12 11 "119_1_r1" "119_1"
13700969 "CHG" 0 12 12 "119_1_r1" "119_1"
13700971 "CHG" 0 7 7 "119_1_r1" "119_1"
13700972 "CHH" 0 7 7 "119_1_r1" "119_1"
13700973 "CHH" 0 7 7 "119_1_r1" "119_1"
13700981 "CHH" 0 6 6 "119_1_r1" "119_1"
13700986 "CHH" 0 11 11 "119_1_r1" "119_1"
13700987 "CHH" 0 11 11 "119_1_r1" "119_1"
13700991 "CHH" 0 4 4 "119_1_r1" "119_1"
13700992 "CHG" 0 11 11 "119_1_r1" "119_1"
13700994 "CHG" 0 5 5 "119_1_r1" "119_1"
13700997 "CHG" 0 11 11 "119_1_r1" "119_1"
13700999 "CHG" 0 4 4 "119_1_r1" "119_1"
13701001 "CHH" 0 3 3 "119_1_r1" "119_1"
13701006 "CHH" 0 3 3 "119_1_r1" "119_1"
13701008 "CHH" 0 2 2 "119_1_r1" "119_1"
13701011 "CHH" 0 2 2 "119_1_r1" "119_1"
13701014 "CHH" 0 2 2 "119_1_r1" "119_1"
13701017 "CHH" 0 3 3 "119_1_r1" "119_1"
13701023 "CHH" 0 10 10 "119_1_r1" "119_1"
13701026 "CG" 0 10 10 "119_1_r1" "119_1"
13701027 "CG" 0 4 4 "119_1_r1" "119_1"
13701029 "CHH" 0 4 4 "119_1_r1" "119_1"
13701031 "CHH" 0 4 4 "119_1_r1" "119_1"
13701033 "CHH" 0 4 4 "119_1_r1" "119_1"
13701036 "CHH" 0 4 4 "119_1_r1" "119_1"
13701041 "CHH" 0 8 8 "119_1_r1" "119_1"
13701042 "CHH" 0 8 8 "119_1_r1" "119_1"
13701045 "CHH" 0 6 6 "119_1_r1" "119_1"
13701047 "CHH" 0 6 6 "119_1_r1" "119_1"
13701049 "CHH" 0 7 7 "119_1_r1" "119_1"
13701054 "CHH" 0 9 9 "119_1_r1" "119_1"
13701061 "CHH" 0 5 5 "119_1_r1" "119_1"
13701062 "CHH" 0 8 8 "119_1_r1" "119_1"
13701064 "CHG" 0 10 10 "119_1_r1" "119_1"
13701065 "CG" 0 10 10 "119_1_r1" "119_1"
13701066 "CG" 0 8 8 "119_1_r1" "119_1"
13701068 "CHH" 0 8 8 "119_1_r1" "119_1"
13701069 "CHH" 0 12 12 "119_1_r1" "119_1"
13701072 "CHH" 0 9 9 "119_1_r1" "119_1"
13701074 "CHG" 0 11 11 "119_1_r1" "119_1"
13701076 "CHG" 0 10 10 "119_1_r1" "119_1"
13701077 "CHH" 0 10 10 "119_1_r1" "119_1"
13701078 "CHH" 0 12 12 "119_1_r1" "119_1"
13701079 "CHH" 0 11 11 "119_1_r1" "119_1"
13701083 "CHH" 0 12 12 "119_1_r1" "119_1"
13701084 "CHH" 1 12 11 "119_1_r1" "119_1"
13701089 "CHH" 1 10 9 "119_1_r1" "119_1"
13701091 "CHH" 0 10 10 "119_1_r1" "119_1"
13701094 "CG" 0 10 10 "119_1_r1" "119_1"
13701095 "CG" 0 10 10 "119_1_r1" "119_1"
13701103 "CHH" 0 10 10 "119_1_r1" "119_1"
13701104 "CHH" 0 9 9 "119_1_r1" "119_1"
13701107 "CHG" 0 9 9 "119_1_r1" "119_1"
13701108 "CG" 0 9 9 "119_1_r1" "119_1"
13701109 "CG" 0 10 10 "119_1_r1" "119_1"
13701114 "CHH" 0 11 11 "119_1_r1" "119_1"
13701118 "CHH" 0 12 12 "119_1_r1" "119_1"
13701122 "CHH" 0 9 9 "119_1_r1" "119_1"
13701124 "CHH" 0 10 10 "119_1_r1" "119_1"
13701127 "CHH" 0 11 11 "119_1_r1" "119_1"
13701134 "CHH" 0 11 11 "119_1_r1" "119_1"
13701135 "CHH" 0 11 11 "119_1_r1" "119_1"
13701137 "CHH" 2 10 8 "119_1_r1" "119_1"
13701138 "CHH" 0 10 10 "119_1_r1" "119_1"
13701140 "CHG" 0 11 11 "119_1_r1" "119_1"
13701142 "CHG" 0 10 10 "119_1_r1" "119_1"
13701144 "CHH" 0 10 10 "119_1_r1" "119_1"
13701145 "CHH" 0 10 10 "119_1_r1" "119_1"
13701147 "CHH" 0 9 9 "119_1_r1" "119_1"
13701152 "CHH" 0 9 9 "119_1_r1" "119_1"
13701158 "CG" 0 10 10 "119_1_r1" "119_1"
13701159 "CG" 0 11 11 "119_1_r1" "119_1"
13701160 "CHH" 0 10 10 "119_1_r1" "119_1"
13701172 "CHH" 0 10 10 "119_1_r1" "119_1"
13701174 "CHH" 0 10 10 "119_1_r1" "119_1"
13701177 "CHH" 0 7 7 "119_1_r1" "119_1"
13701178 "CHH" 0 7 7 "119_1_r1" "119_1"
13701190 "CHH" 0 7 7 "119_1_r1" "119_1"
13701195 "CHH" 0 10 10 "119_1_r1" "119_1"
13701200 "CHH" 0 7 7 "119_1_r1" "119_1"
13701202 "CHH" 0 6 6 "119_1_r1" "119_1"
13701213 "CHH" 0 6 6 "119_1_r1" "119_1"
13701214 "CHH" 0 6 6 "119_1_r1" "119_1"
13701215 "CHH" 0 6 6 "119_1_r1" "119_1"
13701224 "CHH" 0 5 5 "119_1_r1" "119_1"
13701227 "CHH" 0 6 6 "119_1_r1" "119_1"
13701232 "CHH" 0 4 4 "119_1_r1" "119_1"
13701235 "CHH" 0 3 3 "119_1_r1" "119_1"
13701237 "CHH" 0 7 7 "119_1_r1" "119_1"
13701240 "CHH" 0 1 1 "119_1_r1" "119_1"
13701242 "CHH" 0 1 1 "119_1_r1" "119_1"
13701253 "CHH" 0 11 11 "119_1_r1" "119_1"
13701256 "CHH" 0 1 1 "119_1_r1" "119_1"
13701258 "CHH" 0 12 12 "119_1_r1" "119_1"
13701261 "CHH" 0 1 1 "119_1_r1" "119_1"
13701266 "CHH" 0 16 16 "119_1_r1" "119_1"
13701268 "CHH" 0 16 16 "119_1_r1" "119_1"
13701269 "CHH" 1 16 15 "119_1_r1" "119_1"
13701272 "CHH" 0 18 18 "119_1_r1" "119_1"
13701276 "CHH" 0 2 2 "119_1_r1" "119_1"
13701287 "CHH" 0 5 5 "119_1_r1" "119_1"
13701289 "CHH" 0 6 6 "119_1_r1" "119_1"
13701291 "CHH" 0 6 6 "119_1_r1" "119_1"
13701295 "CHH" 0 27 27 "119_1_r1" "119_1"
13701297 "CHH" 0 27 27 "119_1_r1" "119_1"
13701299 "CHH" 0 26 26 "119_1_r1" "119_1"
13701305 "CHH" 0 27 27 "119_1_r1" "119_1"
13701309 "CHH" 0 9 9 "119_1_r1" "119_1"
13701310 "CHH" 0 9 9 "119_1_r1" "119_1"
13701311 "CG" 1 29 28 "119_1_r1" "119_1"
13701312 "CG" 0 10 10 "119_1_r1" "119_1"
13701313 "CHG" 0 10 10 "119_1_r1" "119_1"
13701317 "CHH" 0 10 10 "119_1_r1" "119_1"
13701318 "CHH" 0 33 33 "119_1_r1" "119_1"
13701321 "CHG" 0 32 32 "119_1_r1" "119_1"
13701322 "CG" 1 33 32 "119_1_r1" "119_1"
13701323 "CG" 0 11 11 "119_1_r1" "119_1"
13701324 "CHH" 0 34 34 "119_1_r1" "119_1"
